1,2
1.12568,2.00124
1.25027,2.00322
1.37268,2.00668
1.4918,2.01236
1.60656,2.021
1.71585,2.03335
1.81858,2.05013
1.91366,2.0721
2,2.1
2.07691,2.1345
2.14533,2.17609
2.20661,2.22516
2.26211,2.28213
2.31317,2.34742
2.36114,2.42144
2.40736,2.5046
2.4532,2.59732
2.5,2.7
2.54885,2.81259
2.59982,2.93318
2.65272,3.05936
2.70735,3.18874
2.76354,3.31894
2.82109,3.44755
2.87981,3.5722
2.93951,3.69048
3,3.8
3.06103,3.89975
3.12206,3.99422
3.18252,4.08927
3.24181,4.19075
3.29933,4.30454
3.35451,4.4365
3.40673,4.59249
3.45543,4.77837
3.5,5
3.54004,5.25973
3.57585,5.54577
3.60794,5.84284
3.6368,6.13563
3.66293,6.40885
3.68681,6.64719
3.70896,6.83536
3.72986,6.95806
3.75,7
3.76992,6.95106
3.79024,6.82187
3.81165,6.62827
3.83479,6.38607
3.86035,6.1111
3.88898,5.81919
3.92135,5.52615
3.95814,5.24781
4,5
4.04731,4.79476
4.09926,4.62902
4.15474,4.49594
4.21265,4.38868
4.27189,4.30038
4.33135,4.22421
4.38992,4.15332
4.44651,4.08086
4.5,4
4.54976,3.90558
4.59702,3.79922
4.64347,3.68427
4.69081,3.56403
4.74072,3.44183
4.7949,3.32101
4.85504,3.20488
4.92285,3.09677
5,3
5.08766,2.91696
5.18481,2.84624
5.28989,2.78552
5.40136,2.73244
5.51765,2.68468
5.63721,2.6399
5.7585,2.59575
5.87994,2.54989
6,2.5
6.11744,2.44443
6.23234,2.3844
6.34511,2.32182
6.45617,2.2586
6.56592,2.19666
6.67477,2.13792
6.78312,2.08428
6.8914,2.03767
7,2
7.10926,1.97266
7.21917,1.95497
7.32965,1.94573
7.44063,1.94372
7.55201,1.94774
7.66372,1.95658
7.77568,1.96904
7.8878,1.98392
8,2
